emisor,anio,ingresos,utilidad_operacional,dya,intereses,utilidad_neta,deuda,caja,activos,activo_corriente,pasivo_corriente,patrimonio,flujo_operativo,deuda_corto_plazo,intereses_pagados,impuestos_pagados,capex,dividendos_pagados,utilidades_retenidas,goodwill,intangibles,pasivo_total,activos_tangibles,ebitda,margen_ebitda,margen_neto,deuda_ebitda,deuda_neta_ebitda,cobertura_intereses,razon_corriente,caja_activos,cash_ratio,deuda_patrimonio,ingresos_aj,ebitda_aj,deuda_ebitda_aj,cobertura_aj,margen_ebitda_aj,nivel_deuda,nivel_cobertura,perfil_fin,perfil_fin_nombre,ancla_sp,perfil_negocio,ancla_supuesto,pd_sp_pct,pd_supuesto_pct,ffo,fuentes_12m,usos_12m,liq_ratio,liquidez,ancla_con_liquidez,tasa_implicita,cobertura_descompuesta
CELSIA,2015,3.69,0.36,0.31,0.26,-0.05,4.29,0.43,10.31,1.54,2.57,4.38,0.26,1.58,0.21,0.26,0.22,0.21,0.23,0.94,0.37,5.93,9.01,0.67,0.18,-0.01,6.4,5.76,2.58,0.6,0.04,0.17,0.98,3.69,0.67,6.402985074626866,2.576923076923077,0.1815718157181572,6,5,6,highly leveraged,b/b-,weak,b+,5.5,5.5,0.20000000000000007,0.6300000000000001,2.0100000000000002,0.31343283582089554,débil,b- (tope liquidez),0.06060606060606061,2.5769230769230766
CELSIA,2016,3.79,0.64,0.36,0.36,0.17,4.05,0.37,9.74,1.11,1.08,4.39,0.32,0.51,0.31,0.21,0.37,0.11,0.07,0.91,0.38,5.35,8.45,1.0,0.26,0.04,4.05,3.68,2.78,1.03,0.04,0.34,0.92,3.79,1.0,4.05,2.7777777777777777,0.2638522427440633,5,5,5,aggressive,b+,weak,bb,5.5,2.1999999999999997,0.48,0.85,0.99,0.8585858585858586,débil,b- (tope liquidez),0.08888888888888889,2.7777777777777777
CELSIA,2017,3.09,0.76,0.35,0.33,0.25,3.92,0.17,9.83,1.0,1.33,4.44,0.68,0.58,0.29,0.17,0.55,0.17,-0.01,0.91,0.35,5.39,8.57,1.11,0.36,0.08,3.53,3.38,3.36,0.75,0.02,0.13,0.88,3.09,1.11,3.531531531531531,3.3636363636363638,0.35922330097087385,4,4,4,significant,bb-,weak,bbb-/bb+,2.1999999999999997,0.5,0.65,0.8200000000000001,1.2999999999999998,0.6307692307692309,débil,b- (tope liquidez),0.08418367346938777,3.3636363636363633
CELSIA,2018,3.42,0.77,0.35,0.29,0.35,3.63,0.44,10.69,1.38,1.68,5.4,0.8,0.67,0.24,0.18,0.69,0.21,-0.03,0.95,0.36,5.29,9.38,1.12,0.33,0.1,3.24,2.85,3.86,0.82,0.04,0.26,0.67,3.42,1.12,3.2410714285714284,3.862068965517242,0.3274853801169591,4,4,4,significant,bb-,weak,bbb-/bb+,2.1999999999999997,0.5,0.7000000000000002,1.1400000000000001,1.5699999999999998,0.7261146496815288,débil,b- (tope liquidez),0.07988980716253444,3.862068965517242
CELSIA,2019,3.73,1.35,0.41,0.42,0.6,3.96,0.38,11.38,1.76,1.7,5.67,0.77,0.59,0.29,0.21,0.82,0.29,-0.03,0.93,0.37,5.7,10.08,1.76,0.47,0.16,2.25,2.03,4.19,1.04,0.03,0.22,0.7,3.73,1.76,2.25,4.190476190476191,0.4718498659517426,3,4,3,intermediate,bb,weak,bbb/bbb-,2.1999999999999997,0.5,1.26,1.6400000000000001,1.7,0.9647058823529413,débil,b- (tope liquidez),0.10606060606060606,4.190476190476191
CELSIA,2020,3.54,0.88,0.38,0.35,0.34,3.87,0.4,11.81,1.43,2.06,5.74,1.19,0.48,0.28,0.25,0.97,0.34,0.32,0.96,0.35,6.07,10.5,1.26,0.36,0.1,3.07,2.75,3.6,0.69,0.03,0.19,0.67,3.54,1.26,3.0714285714285716,3.6,0.3559322033898305,4,4,4,significant,bb-,weak,bbb-/bb+,2.1999999999999997,0.5,0.73,1.13,1.79,0.6312849162011173,débil,b- (tope liquidez),0.0904392764857881,3.5999999999999996
CELSIA,2021,4.11,0.92,0.4,0.32,0.54,4.47,0.25,12.68,1.33,1.67,6.32,1.33,0.49,0.25,0.21,1.64,0.41,0.27,0.99,0.32,6.36,11.37,1.32,0.32,0.13,3.39,3.2,4.12,0.8,0.02,0.15,0.71,4.11,1.32,3.386363636363636,4.125,0.32116788321167883,4,4,4,significant,bb-,weak,bbb-/bb+,2.1999999999999997,0.5,0.8600000000000001,1.11,2.54,0.4370078740157481,débil,b- (tope liquidez),0.07158836689038033,4.125
CELSIA,2022,5.58,1.32,0.43,0.63,0.44,4.78,0.21,14.93,4.57,3.26,6.7,1.24,0.5,0.45,0.32,2.08,0.4,0.26,0.3,0.13,8.24,14.49,1.75,0.31,0.08,2.73,2.61,2.78,1.4,0.01,0.06,0.71,5.58,1.75,2.7314285714285718,2.7777777777777777,0.31362007168458783,3,5,4,significant,bb-,weak,bbb-/bb+,2.1999999999999997,0.5,0.98,1.19,2.98,0.39932885906040266,débil,b- (tope liquidez),0.1317991631799163,2.7777777777777777
CELSIA,2023,6.23,1.37,0.38,0.87,0.35,4.99,0.56,13.75,2.63,3.64,5.52,1.79,1.0,0.75,0.32,1.22,0.37,0.28,0.25,0.12,8.24,13.38,1.75,0.28,0.06,2.85,2.53,2.01,0.72,0.04,0.15,0.9,6.23,1.75,2.8514285714285714,2.0114942528735633,0.28089887640449435,3,5,4,significant,bb-,weak,bbb-/bb+,2.1999999999999997,0.5,0.6799999999999999,1.24,2.59,0.4787644787644788,débil,b- (tope liquidez),0.17434869739478956,2.0114942528735633
CELSIA,2024,6.81,1.04,0.41,0.69,0.34,5.58,0.22,15.11,3.56,5.19,5.39,1.66,1.68,0.64,0.16,1.75,0.4,0.25,0.25,0.18,9.72,14.68,1.45,0.21,0.05,3.85,3.7,2.1,0.69,0.01,0.04,1.04,6.81,1.45,3.8482758620689657,2.101449275362319,0.2129221732745962,4,5,4,significant,bb-,weak,bbb-/bb+,2.1999999999999997,0.5,0.6499999999999999,0.8699999999999999,3.8299999999999996,0.22715404699738903,débil,b- (tope liquidez),0.12365591397849461,2.101449275362319
