emisor,anio,ingresos,utilidad_operacional,dya,intereses,utilidad_neta,deuda,caja,activos,activo_corriente,pasivo_corriente,patrimonio,flujo_operativo,deuda_corto_plazo,intereses_pagados,impuestos_pagados,capex,dividendos_pagados,utilidades_retenidas,goodwill,intangibles,pasivo_total,activos_tangibles
CELSIA,2015,3.69,0.36,0.31,0.26,-0.05,4.29,0.43,10.31,1.54,2.57,4.38,0.26,1.58,0.21,0.26,0.22,0.21,0.2276,0.9351,0.3657,5.9312,9.0092
CELSIA,2016,3.79,0.64,0.36,0.36,0.17,4.05,0.37,9.74,1.11,1.08,4.39,0.32,0.51,0.31,0.21,0.37,0.11,0.0709,0.9088,0.3816,5.3492,8.4496
CELSIA,2017,3.09,0.76,0.35,0.33,0.25,3.92,0.17,9.83,1.0,1.33,4.44,0.68,0.58,0.29,0.17,0.55,0.17,-0.0057,0.9059,0.3537,5.3934,8.5704
CELSIA,2018,3.42,0.77,0.35,0.29,0.35,3.63,0.44,10.69,1.38,1.68,5.4,0.8,0.67,0.24,0.18,0.69,0.21,-0.0298,0.9527,0.3575,5.2875,9.3798
CELSIA,2019,3.73,1.35,0.41,0.42,0.6,3.96,0.38,11.38,1.76,1.7,5.67,0.77,0.59,0.29,0.21,0.82,0.29,-0.0298,0.9315,0.3708,5.7037,10.0777
CELSIA,2020,3.54,0.88,0.38,0.35,0.34,3.87,0.4,11.81,1.43,2.06,5.74,1.19,0.48,0.28,0.25,0.97,0.34,0.323,0.9589,0.3537,6.07,10.4974
CELSIA,2021,4.11,0.92,0.4,0.32,0.54,4.47,0.25,12.68,1.33,1.67,6.32,1.33,0.49,0.25,0.21,1.64,0.41,0.2673,0.9868,0.3235,6.3596,11.3697
CELSIA,2022,5.58,1.32,0.43,0.63,0.44,4.78,0.21,14.93,4.57,3.26,6.7,1.24,0.5,0.45,0.32,2.08,0.4,0.2575,0.3038,0.1318,8.2366,14.494399999999999
CELSIA,2023,6.23,1.37,0.38,0.87,0.35,4.99,0.56,13.75,2.63,3.64,5.52,1.79,1.0,0.75,0.32,1.22,0.37,0.2808,0.2481,0.1206,8.2381,13.3813
CELSIA,2024,6.81,1.04,0.41,0.69,0.34,5.58,0.22,15.11,3.56,5.19,5.39,1.66,1.68,0.64,0.16,1.75,0.4,0.2487,0.2481,0.183,9.719,14.678899999999999
CELSIA,2025,5.4,1.17,0.44,0.68,0.36,5.01,0.28,14.2,2.29,3.03,5.16,2.02,1.08,0.6,0.18,1.33,0.29,-0.1501,0.2481,0.2336,9.0366,13.7183
ENEL,2015,3.23,1.56,0.16,0.19,0.89,3.69,0.3,8.84,0.77,1.57,3.56,1.09,0.61,0.32,0.48,0.68,1.05,1.4783,0.0,0.0903,5.2817,8.7497
ENEL,2016,3.49,1.68,0.18,0.49,0.75,4.2,0.62,9.04,0.87,1.28,3.5,1.58,0.46,0.45,0.46,0.31,0.8,1.4697,0.0,0.1006,5.5415,8.9394
ENEL,2017,3.4,1.81,0.2,0.38,0.89,3.98,0.56,9.03,0.98,1.2,3.85,1.51,0.46,0.37,0.42,0.32,0.6,1.6232,0.0,0.0743,5.1802,8.9557
ENEL,2018,3.67,1.87,0.2,0.32,1.02,3.68,0.64,9.25,1.1,1.67,4.24,1.86,0.76,0.31,0.47,0.26,0.6,1.8837,0.0,0.0798,5.0115,9.1702
ENEL,2019,4.07,2.09,0.22,0.29,1.23,3.01,0.29,9.12,0.83,1.28,4.74,1.64,0.33,0.27,0.48,0.35,0.7,2.1822,0.0,0.107,4.377,9.013
ENEL,2020,4.25,2.24,0.23,0.28,1.28,2.76,0.82,9.5,1.21,1.96,5.16,2.04,0.91,0.22,0.64,0.31,0.83,2.5833,0.0,0.1111,4.3389,9.3889
ENEL,2021,4.72,2.7,0.24,0.18,1.71,1.89,0.21,9.04,0.67,1.52,5.1,2.29,0.63,0.23,0.67,0.3,1.99,2.0961,0.0,0.1866,3.9348,8.853399999999999
ENEL,2022,12.1,5.08,0.86,0.77,2.96,3.95,1.22,29.66,4.73,5.43,16.31,4.86,1.53,0.62,1.24,2.77,3.66,3.138,0.1357,2.054,13.3499,27.4703
ENEL,2023,16.6,4.9,1.03,1.52,1.95,3.91,1.63,29.6,5.45,6.63,13.97,4.56,2.18,1.01,1.97,2.81,2.81,3.2903,0.1078,1.4993,15.6295,27.9929
ENEL,2024,16.93,4.61,1.13,1.21,2.36,3.02,1.26,30.9,4.6,5.31,15.24,4.2,2.04,1.1,1.56,2.4,1.85,3.4901,0.1244,1.3816,15.6546,29.394
ENEL,2025,15.9,6.05,1.15,1.4,3.18,2.43,1.15,31.59,3.88,5.03,15.52,6.22,1.45,0.96,1.05,3.0,2.06,3.7153,0.106,1.1355,16.068,30.348499999999998
EPM,2015,13.9,2.66,0.79,0.85,1.06,14.64,1.34,41.98,5.49,7.68,18.81,3.06,4.26,0.79,0.41,3.61,0.99,10.5306,3.1242,1.7586,23.166,37.097199999999994
